sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2016-10-31;5717,530;5687,720;5691,600;;1;;0
2016-10-28;5748,330;5694,490;5726,910;;1;;0
2016-10-27;5810,950;5727,480;5739,990;;1;;0
2016-10-26;5846,100;5784,600;5826,410;;1;;0
2016-10-25;5839,520;5799,670;5824,020;;1;;0
2016-10-24;5863,060;5827,310;5835,070;;1;;0
2016-10-21;5840,650;5808,930;5825,120;;1;;0
2016-10-20;5839,280;5807,270;5831,540;;1;;0
2016-10-19;5830,550;5795,900;5825,510;;1;;0
2016-10-18;5818,890;5779,680;5816,440;;1;;0
2016-10-17;5773,250;5727,640;5750,470;;1;;0
2016-10-14;5762,510;5716,100;5757,370;;1;;0
2016-10-13;5737,730;5691,780;5705,660;;1;;0
2016-10-12;5797,390;5750,390;5760,620;;1;;0
2016-10-11;5853,280;5799,250;5799,250;;1;;0
2016-10-10;5822,470;5757,070;5822,470;;1;;0
2016-10-07;5794,540;5764,940;5767,840;;1;;0
2016-10-06;5839,300;5802,060;5802,060;;1;;0
2016-10-05;5837,850;5804,460;5833,380;;1;;0
2016-10-04;5853,050;5820,980;5849,740;;1;;0
2016-10-03;5822,030;5794,820;5819,290;;1;;0
2016-09-30;5804,590;5696,490;5804,560;;1;;0
2016-09-29;5825,340;5774,900;5781,220;;1;;0
2016-09-28;5787,720;5751,360;5779,050;;1;;0
2016-09-27;5780,940;5713,840;5751,550;;1;;0
2016-09-26;5776,140;5734,610;5741,210;;1;;0
2016-09-23;5790,500;5758,380;5790,500;;1;;0
2016-09-22;5801,490;5725,380;5799,490;;1;;0
2016-09-21;5714,060;5677,350;5691,430;;1;;0
2016-09-20;5676,230;5656,710;5661,390;;1;;0
2016-09-19;5672,130;5632,040;5668,800;;1;;0
2016-09-16;5635,480;5580,200;5599,020;;1;;0
2016-09-15;5621,800;5574,010;5621,650;;1;;0
2016-09-14;5625,980;5591,710;5592,350;;1;;0
2016-09-13;5681,360;5588,060;5588,060;;1;;0
2016-09-12;5634,050;5574,920;5633,210;;1;;0
2016-09-09;5774,740;5693,850;5700,740;;1;;0
2016-09-08;5807,290;5747,020;5778,700;;1;;0
2016-09-07;5788,860;5747,750;5788,860;;1;;0
2016-09-06;5775,610;5746,330;5748,710;;1;;0
2016-09-05;5791,880;5751,330;5751,610;;1;;0
2016-09-02;5756,610;5657,080;5756,610;;1;;0
2016-09-01;5699,920;5649,070;5655,060;;1;;0
2016-08-31;5701,510;5644,280;5644,280;;1;;0
2016-08-30;5723,720;5680,120;5680,120;;1;;0
2016-08-29;5693,410;5663,720;5691,640;;1;;0
2016-08-26;5706,280;5642,610;5706,280;;1;;0
2016-08-25;5675,120;5636,470;5651,330;;1;;0
2016-08-24;5691,180;5643,150;5687,520;;1;;0
2016-08-23;5672,390;5637,410;5669,070;;1;;0
2016-08-22;5674,710;5615,800;5621,270;;1;;0
2016-08-19;5670,510;5603,300;5633,510;;1;;0
2016-08-18;5668,820;5628,020;5668,820;;1;;0
2016-08-17;5679,020;5605,950;5605,950;;1;;0
2016-08-16;5729,140;5672,470;5672,470;;1;;0
2016-08-15;5752,760;5721,830;5740,550;;1;;0
2016-08-12;5759,300;5724,970;5730,140;;1;;0
2016-08-11;5745,480;5707,080;5745,480;;1;;0
2016-08-10;5722,710;5698,450;5718,650;;1;;0
2016-08-09;5738,040;5648,130;5738,040;;1;;0
2016-08-08;5654,760;5617,010;5654,760;;1;;0
2016-08-05;5612,560;5567,280;5604,240;;1;;0
2016-08-04;5554,870;5475,060;5549,400;;1;;0
2016-08-03;5536,790;5494,670;5503,510;;1;;0
2016-08-02;5566,350;5498,180;5511,360;;1;;0
2016-08-01;5651,350;5558,190;5576,000;;1;;0
2016-07-29;5641,620;5596,100;5613,820;;1;;0
2016-07-28;5691,560;5629,440;5629,440;;1;;0
2016-07-27;5687,740;5643,810;5646,020;;1;;0
2016-07-26;5648,860;5603,320;5638,480;;1;;0
2016-07-25;5646,300;5594,770;5619,550;;1;;0
2016-07-22;5614,410;5552,880;5599,220;;1;;0
2016-07-21;5588,860;5538,530;5560,020;;1;;0
2016-07-20;5578,050;5514,220;5565,950;;1;;0
2016-07-19;5539,730;5461,400;5521,250;;1;;0
2016-07-18;5527,040;5493,700;5513,430;;1;;0
2016-07-15;5517,050;5474,890;5512,270;;1;;0
2016-07-14;5538,810;5503,460;5524,520;;1;;0
2016-07-13;5506,680;5458,780;5498,510;;1;;0
2016-07-12;5467,270;5414,010;5451,120;;1;;0
2016-07-11;5415,350;5343,410;5412,190;;1;;0
2016-07-08;5317,120;5215,540;5317,120;;1;;0
2016-07-07;5259,820;5203,520;5227,370;;1;;0
2016-07-06;5239,150;5156,220;5184,020;;1;;0
2016-07-05;5333,600;5215,800;5234,880;;1;;0
2016-07-04;5408,500;5344,190;5344,190;;1;;0
2016-07-01;5391,860;5293,830;5377,940;;1;;0
2016-06-30;5287,310;5198,130;5283,550;;1;;0
2016-06-29;5211,770;5127,510;5211,770;;1;;0
2016-06-28;5132,940;5060,970;5083,580;;1;;0
2016-06-27;5132,370;4959,990;4959,990;;1;;0
2016-06-23;5402,900;5334,120;5373,190;;1;;0
2016-06-22;5346,470;5298,390;5337,160;;1;;0
2016-06-21;5323,740;5272,420;5315,370;;1;;0
2016-06-20;5305,910;5237,900;5304,540;;1;;0
2016-06-17;5178,970;5122,870;5154,250;;1;;0
2016-06-16;5161,030;5099,160;5111,760;;1;;0
2016-06-15;5195,540;5164,080;5188,010;;1;;0
2016-06-14;5195,840;5141,290;5141,290;;1;;0
2016-06-13;5292,130;5206,060;5224,420;;1;;0
2016-06-10;5384,290;5306,070;5311,250;;1;;0
2016-06-09;5433,430;5387,170;5396,410;;1;;0
2016-06-08;5440,590;5423,720;5436,720;;1;;0
2016-06-07;5439,420;5396,890;5439,420;;1;;0
2016-06-06;5377,980;5336,210;5377,980;;1;;0
2016-06-03;5396,920;5318,550;5333,170;;1;;0
2016-06-02;5349,220;5319,330;5343,480;;1;;0
2016-06-01;5365,130;5317,830;5334,190;;1;;0
2016-05-31;5377,900;5338,540;5367,110;;1;;0
2016-05-30;5365,930;5334,620;5349,250;;1;;0
2016-05-27;5352,410;5326,140;5349,620;;1;;0
2016-05-26;5337,330;5270,870;5337,330;;1;;0
2016-05-25;5279,190;5237,800;5277,620;;1;;0
2016-05-24;5231,790;5127,750;5229,120;;1;;0
2016-05-23;5174,490;5139,250;5162,100;;1;;0
2016-05-20;5165,570;5123,530;5164,470;;1;;0
2016-05-19;5130,950;5092,730;5100,530;;1;;0
2016-05-18;5145,810;5105,920;5145,810;;1;;0
2016-05-17;5160,200;5112,620;5126,950;;1;;0
2016-05-16;5125,560;5084,740;5123,530;;1;;0
2016-05-13;5112,070;5065,460;5101,230;;1;;0
2016-05-12;5162,230;5091,810;5093,450;;1;;0
2016-05-11;5136,600;5103,300;5131,570;;1;;0
2016-05-10;5172,670;5108,910;5122,500;;1;;0
2016-05-09;5170,880;5128,440;5133,800;;1;;0
2016-05-06;5139,410;5089,570;5130,900;;1;;0
2016-05-04;5158,890;5114,970;5118,860;;1;;0
2016-05-03;5207,560;5138,800;5158,140;;1;;0
2016-05-02;5223,730;5195,840;5206,870;;1;;0
2016-04-29;5254,520;5207,060;5213,680;;1;;0
2016-04-28;5277,660;5207,150;5275,780;;1;;0
2016-04-27;5269,870;5212,390;5249,520;;1;;0
2016-04-26;5297,760;5251,110;5266,070;;1;;0
2016-04-25;5305,390;5214,950;5219,000;;1;;0
2016-04-22;5308,480;5274,210;5299,040;;1;;0
2016-04-21;5411,430;5317,080;5351,720;;1;;0
2016-04-20;5418,100;5390,400;5418,100;;1;;0
2016-04-19;5410,530;5339,830;5407,710;;1;;0
2016-04-18;5336,640;5252,120;5328,800;;1;;0
2016-04-15;5318,240;5293,630;5309,000;;1;;0
2016-04-14;5315,030;5275,600;5313,670;;1;;0
2016-04-13;5277,780;5216,110;5275,990;;1;;0
2016-04-12;5206,140;5140,430;5206,140;;1;;0
2016-04-11;5215,880;5151,490;5196,840;;1;;0
2016-04-08;5189,440;5099,440;5181,310;;1;;0
2016-04-07;5177,000;5081,590;5081,590;;1;;0
2016-04-06;5178,140;5115,700;5143,030;;1;;0
2016-04-05;5216,990;5156,130;5173,880;;1;;0
2016-04-04;5266,360;5202,150;5233,760;;1;;0
2016-04-01;5251,100;5194,680;5224,400;;1;;0
2016-03-31;5362,870;5303,970;5310,140;;1;;0
2016-03-30;5387,470;5307,880;5387,470;;1;;0
2016-03-29;5292,360;5249,650;5284,320;;1;;0
2016-03-24;5320,400;5251,010;5253,460;;1;;0
2016-03-23;5392,400;5322,660;5338,100;;1;;0
2016-03-22;5380,530;5319,110;5378,780;;1;;0
2016-03-21;5430,100;5363,650;5397,230;;1;;0
2016-03-18;5404,180;5356,700;5404,180;;1;;0
2016-03-17;5397,440;5302,910;5381,680;;1;;0
2016-03-16;5390,930;5340,000;5356,700;;1;;0
2016-03-15;5387,320;5352,170;5363,760;;1;;0
2016-03-14;5412,430;5331,790;5405,600;;1;;0
2016-03-11;5311,480;5264,820;5304,600;;1;;0
2016-03-10;5360,940;5211,820;5211,820;;1;;0
2016-03-09;5279,070;5240,340;5266,560;;1;;0
2016-03-08;5286,410;5224,510;5239,360;;1;;0
