Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades,
1999-11-01,2.38,2.44,,2.38,2.38,2.38,,5680,13490,4,,
1999-11-02,2.31,2.38,,2.39,2.38,2.38,,16320,38831,6,,
1999-11-03,2.31,2.38,,2.39,2.38,2.38,,16320,38831,6,,
1999-11-04,2.33,2.38,,2.38,2.38,2.38,,8832,20976,7,,
1999-11-05,2.33,2.41,,2.38,2.38,2.38,,19760,46940,8,,
1999-11-06,2.33,2.41,,2.38,2.38,2.38,,19760,46940,8,,
1999-11-07,2.33,2.41,,2.38,2.38,2.38,,19760,46940,8,,
1999-11-08,2.38,2.44,,2.44,2.31,2.44,,2850328,6769449,6,,
1999-11-09,2.63,2.75,,2.75,2.44,2.75,,42896,109862.5,15,,
1999-11-10,2.6,2.71,,2.75,2.6,2.6,,127680,336463.6,20,,
1999-11-11,2.39,2.5,,2.69,2.44,2.44,,34880,86866,8,,
1999-11-12,2.44,2.45,,2.47,2.44,2.45,,3200,7863,4,,
1999-11-13,2.44,2.45,,2.47,2.44,2.45,,3200,7863,4,,
1999-11-14,2.44,2.45,,2.47,2.44,2.45,,3200,7863,4,,
1999-11-15,2.44,2.47,,2.49,2.44,2.47,,6240,15424,10,,
1999-11-16,2.41,2.48,,2.45,2.44,2.44,,16864,41108.4,5,,
1999-11-17,2.44,2.5,,2.5,2.44,2.5,,7840,19275,7,,
1999-11-18,2.64,2.69,,2.64,2.5,2.64,,9448,24124.8,10,,
1999-11-19,2.63,2.69,,2.75,2.69,2.72,,50880,137840,18,,
1999-11-20,2.63,2.69,,2.75,2.69,2.72,,50880,137840,18,,
1999-11-21,2.63,2.69,,2.75,2.69,2.72,,50880,137840,18,,
1999-11-22,2.69,2.78,,2.75,2.69,2.75,,5120,13795,6,,
1999-11-23,2.63,2.75,,2.88,2.75,2.75,,48808,135202,13,,
1999-11-24,2.63,2.75,,2.88,2.75,2.75,,48808,135202,13,,
1999-11-25,2.68,2.69,,2.69,2.69,2.69,,1520,4085,4,,
1999-11-26,2.63,2.71,,2.75,2.68,2.68,,56320,154160.6,6,,
1999-11-27,2.63,2.71,,2.75,2.68,2.68,,56320,154160.6,6,,
1999-11-28,2.63,2.71,,2.75,2.68,2.68,,56320,154160.6,6,,
1999-11-29,2.63,2.71,,2.71,2.69,2.71,,1600,4308,2,,
1999-11-30,2.63,2.71,,2.71,2.63,2.63,,320,854,2,,
1999-12-01,2.63,2.75,,2.75,2.63,2.63,,2240,5920,5,,
1999-12-02,2.5,2.56,,2.63,2.63,2.63,,2080,5460,2,,
